experiment,best_epoch,best_val_cer,best_val_accuracy,last_val_cer
crnn_exp1_width160,16,0.0001211651238307,0.9989781320253424,0.0004119614210245
crnn_exp3_deep,17,0.0001453981485969,0.9989781320253424,0.0001453981485969
crnn_exp2_augment,16,0.000169631173363,0.9985693848354792,0.0003877283962584
crnn_baseline_32x128_noaug,16,0.0003150293219599,0.9975475168608215,0.0003634953714922
